AF3,F7,F3,FC5,T7,P7,O1,02,P8,T8,FC6,F4,F8,AF4,label
4295.38,3989.74,4262.05,4107.69,4340.0,4625.13,4059.49,4619.49,4207.18,4235.38,4208.72,4264.62,4597.44,4358.97,0
4294.36,4002.56,4250.26,4118.46,4326.67,4598.46,4060.0,4586.15,4178.97,4214.36,4142.05,4260.51,4596.41,4344.1,0
4278.97,4029.74,4245.13,4119.49,4355.9,4629.23,4105.13,4601.54,4202.56,4229.23,4196.41,4265.64,4581.54,4326.67,0
4297.95,4004.1,4266.67,4125.64,4345.13,4628.21,4079.49,4631.79,4218.97,4248.72,4216.92,4297.95,4598.97,4377.95,0
4320.0,4031.28,4277.95,4143.08,4377.95,4648.21,4102.56,4644.62,4228.21,4255.9,4229.23,4297.95,4643.08,4394.36,1
4294.36,3992.82,4260.0,4134.36,4349.23,4629.74,4087.69,4627.69,4209.74,4236.41,4213.85,4280.0,4617.95,4347.69,0
4249.74,4036.92,4247.18,4135.9,4377.95,4646.15,4091.79,4625.64,4203.08,4222.56,4189.23,4257.95,4589.23,4298.97,0
4400.0,4049.74,4278.46,4134.87,4330.77,4609.23,4058.46,4613.33,4196.92,4242.56,4237.95,4304.62,4669.23,4468.21,0
4289.74,3992.82,4235.38,4107.69,4328.21,4593.33,4069.23,4610.77,4191.28,4215.38,4204.1,4271.79,4603.08,4348.21,0
4315.9,4013.85,4269.74,4121.03,4325.64,4595.9,4081.54,4613.33,4200.0,4226.15,4206.67,4286.15,4610.26,4384.1,1
4332.82,4047.69,4287.69,4151.28,4333.33,4609.23,4063.08,4601.54,4184.1,4188.72,4165.64,4281.03,4545.13,4362.56,1
4315.9,4007.18,4267.18,4135.9,4363.08,4649.74,4083.59,4644.1,4225.13,4257.44,4237.44,4297.95,4627.18,4373.33,0
4282.56,4039.49,4278.97,4147.18,4383.08,4649.23,4096.92,4648.72,4229.23,4254.36,4211.28,4285.64,4622.05,4344.62,1
4295.9,4001.03,4274.87,4121.03,4337.44,4620.0,4046.67,4600.0,4194.87,4241.54,4174.87,4271.28,4609.23,4366.67,0
4312.31,3973.33,4262.56,4092.31,4331.28,4598.97,4090.26,4620.0,4211.28,4250.26,4244.1,4305.64,4671.79,4418.97,1
4298.46,4008.21,4266.67,4125.64,4332.82,4615.9,4065.13,4607.69,4196.41,4233.85,4191.79,4286.15,4608.21,4372.82,0
4308.72,4010.26,4252.31,4107.18,4335.9,4614.87,4053.33,4597.44,4186.67,4219.49,4196.92,4266.67,4603.59,4350.77,1
4288.72,3952.31,4243.59,4086.67,4330.77,4608.21,4070.77,4615.38,4200.0,4241.03,4200.51,4271.79,4597.44,4344.62,1
4290.77,4007.69,4249.74,4109.74,4337.44,4615.38,4057.44,4614.87,4197.44,4223.59,4202.56,4268.21,4596.41,4353.85,1
4293.85,4024.62,4248.72,4124.62,4334.87,4585.64,4076.41,4593.33,4180.51,4201.54,4186.15,4272.31,4582.56,4353.33,0
4429.23,4065.13,4296.92,4154.36,4365.13,4628.21,4083.59,4617.44,4225.64,4285.64,4256.41,4326.15,4696.41,4481.03,0
4295.9,4009.23,4264.62,4121.03,4331.79,4616.92,4071.28,4592.82,4188.21,4216.41,4186.67,4278.97,4604.62,4361.03,0
4292.31,4005.64,4246.67,4120.0,4328.21,4620.0,4079.49,4618.46,4199.49,4227.18,4185.13,4266.67,4592.31,4351.79,0
4284.1,3997.44,4261.54,4119.49,4332.31,4626.15,4072.31,4609.74,4202.05,4242.56,4208.21,4276.92,4617.95,4348.72,0
4290.77,4020.0,4261.03,4121.54,4335.9,4609.23,4068.72,4614.87,4202.56,4228.72,4185.64,4277.95,4605.64,4356.41,0
4370.77,4058.46,4279.49,4153.33,4334.87,4614.87,4067.18,4607.69,4201.54,4226.67,4220.0,4291.28,4623.59,4404.62,0
4297.44,3988.72,4266.15,4117.44,4350.26,4631.79,4086.15,4627.69,4203.08,4230.77,4211.79,4282.05,4621.54,4353.33,1
4277.95,3993.85,4246.15,4100.0,4329.74,4603.08,4039.49,4600.0,4190.77,4219.49,4179.49,4258.97,4592.82,4349.74,0
4282.56,3998.46,4258.46,4118.46,4344.62,4609.74,4067.69,4598.97,4186.67,4221.54,4190.77,4271.28,4620.51,4352.31,1
4316.92,4011.28,4276.41,4139.49,4358.46,4633.85,4101.03,4624.1,4210.77,4250.77,4219.49,4290.26,4630.77,4373.33,1
4263.08,4011.28,4231.28,4109.23,4348.72,4624.62,4095.38,4590.77,4197.44,4223.59,4182.56,4254.87,4562.56,4313.33,0
4297.44,4044.1,4270.26,4132.31,4353.85,4631.28,4067.69,4612.31,4213.33,4244.1,4204.1,4276.41,4605.13,4348.21,0
4270.26,3978.97,4246.67,4102.56,4328.72,4616.41,4047.18,4606.15,4178.97,4218.97,4197.95,4255.38,4577.95,4344.1,0
4286.15,3994.87,4249.74,4123.08,4329.74,4615.38,4051.28,4599.49,4183.08,4212.82,4193.85,4276.41,4611.28,4334.87,1
4288.21,4008.21,4268.21,4121.54,4335.9,4629.74,4087.69,4632.31,4203.59,4227.69,4195.9,4282.05,4576.92,4349.23,0
4281.54,3988.21,4245.13,4108.72,4357.44,4640.0,4095.38,4635.9,4230.26,4267.18,4228.21,4281.03,4633.85,4367.69,1
4277.44,4027.18,4251.28,4117.95,4337.44,4614.87,4045.13,4586.15,4176.92,4222.56,4198.97,4259.49,4611.28,4342.56,1
4302.56,4006.15,4280.51,4121.54,4338.46,4615.38,4065.64,4629.23,4200.51,4237.95,4187.69,4275.9,4602.05,4366.67,0
4275.9,4014.36,4258.46,4103.08,4348.72,4631.79,4117.44,4643.08,4231.79,4240.0,4211.79,4289.74,4619.49,4343.59,1
4292.82,4001.03,4277.95,4120.0,4347.18,4621.03,4065.13,4621.03,4207.18,4233.33,4218.97,4289.74,4611.28,4372.82,0
4290.77,4030.77,4270.77,4135.38,4343.59,4623.59,4046.15,4601.54,4193.33,4227.18,4204.62,4281.03,4629.74,4346.67,1
4326.15,4052.31,4284.62,4140.51,4337.44,4614.87,4058.97,4616.92,4198.46,4223.59,4205.13,4285.64,4587.18,4380.51,1
4275.9,4008.72,4255.9,4107.18,4332.31,4617.95,4048.21,4608.21,4195.9,4223.08,4188.72,4269.74,4605.64,4338.97,1
4406.67,4076.41,4295.9,4150.26,4320.51,4598.97,4058.46,4615.9,4196.41,4227.18,4212.82,4313.85,4637.44,4457.44,0
4286.67,3962.05,4266.15,4107.69,4336.92,4637.95,4088.72,4641.03,4221.54,4246.15,4222.56,4295.9,4621.54,4353.85,0
4278.46,3932.82,4249.23,4086.15,4324.1,4607.69,4103.08,4634.87,4229.23,4246.67,4242.05,4307.18,4652.82,4358.97,1
4305.64,4003.08,4278.97,4140.0,4346.15,4600.0,4086.15,4623.59,4207.18,4231.28,4207.18,4284.1,4617.95,4358.46,0
4242.56,3982.05,4238.97,4110.26,4337.95,4616.41,4072.31,4600.0,4190.77,4200.51,4177.44,4255.9,4560.0,4297.44,0
4277.95,3967.18,4262.56,4111.79,4328.72,4613.85,4049.23,4613.85,4188.21,4231.28,4203.08,4262.56,4591.79,4341.03,0
4275.38,4029.23,4258.46,4118.97,4341.54,4619.49,4050.26,4601.54,4197.44,4228.21,4199.49,4258.46,4618.46,4335.38,1
4305.64,4018.46,4279.49,4155.38,4340.0,4612.31,4049.23,4606.67,4201.54,4233.33,4217.95,4286.67,4610.77,4366.67,1
4317.44,4021.54,4281.54,4140.51,4347.69,4606.67,4095.38,4625.13,4206.67,4252.82,4222.56,4294.36,4640.0,4381.03,0
4278.97,4000.51,4256.92,4114.36,4346.67,4613.85,4049.23,4607.69,4183.08,4222.56,4185.64,4265.13,4584.1,4343.08,1
4286.67,3946.15,4237.44,4089.74,4331.79,4604.62,4070.77,4607.18,4188.21,4221.54,4191.28,4267.18,4586.67,4338.97,1
4284.1,4022.56,4256.41,4123.59,4331.28,4606.15,4035.38,4596.92,4184.62,4220.51,4195.38,4267.18,4622.05,4344.1,1
4272.82,3978.46,4256.41,4121.54,4324.62,4597.95,4050.26,4627.69,4208.21,4214.87,4200.51,4277.95,4581.54,4336.92,1
4274.87,3994.36,4250.26,4136.41,4326.67,4614.87,4041.54,4595.9,4191.28,4224.1,4187.18,4264.1,4607.69,4324.62,1
4282.05,4012.82,4262.05,4133.85,4356.92,4623.59,4075.9,4613.85,4198.46,4218.97,4188.72,4254.36,4603.08,4335.9,0
4275.9,3982.05,4256.92,4120.51,4329.23,4596.41,4042.56,4617.44,4194.87,4215.9,4203.08,4274.36,4588.72,4343.08,1
4261.54,3985.13,4251.79,4103.08,4331.28,4609.23,4055.9,4608.72,4192.82,4210.26,4170.26,4253.85,4569.74,4323.08,0
4315.38,3982.05,4271.28,4106.15,4346.15,4630.77,4104.62,4629.74,4211.79,4243.08,4224.62,4291.28,4620.0,4393.85,1
4285.13,3940.51,4249.23,4108.21,4340.51,4629.74,4067.69,4616.41,4215.38,4233.33,4206.67,4268.21,4592.82,4331.79,0
4276.92,3990.77,4253.33,4109.23,4337.44,4607.18,4069.74,4591.79,4177.95,4212.31,4188.72,4270.77,4617.95,4356.41,1
4277.44,4002.56,4266.15,4126.67,4336.92,4631.79,4087.18,4624.1,4197.44,4236.41,4188.21,4268.21,4593.85,4336.92,1
4302.56,4020.51,4261.54,4150.77,4356.92,4642.56,4069.23,4615.38,4212.31,4226.15,4205.64,4263.08,4592.31,4353.85,0
4272.31,4018.97,4254.87,4116.92,4342.05,4615.38,4044.62,4592.31,4183.08,4219.49,4190.26,4262.56,4603.59,4332.31,1
4406.67,4128.21,4296.92,4162.56,4348.72,4607.69,4062.56,4601.03,4192.82,4211.28,4202.05,4296.41,4617.95,4427.69,1
4274.87,3970.77,4247.69,4114.87,4330.77,4610.26,4054.36,4623.59,4202.05,4233.33,4202.56,4265.64,4587.69,4341.03,1
4454.36,4060.0,4311.28,4149.74,4321.54,4588.72,4071.28,4611.79,4213.33,4248.21,4277.44,4340.0,4746.67,4538.97,0
4275.38,3998.97,4253.33,4122.05,4343.59,4623.08,4068.21,4613.33,4202.56,4221.54,4190.26,4268.21,4594.36,4344.1,0
4294.36,4011.28,4260.51,4110.26,4338.46,4614.36,4057.95,4620.0,4205.64,4233.33,4202.56,4269.23,4595.38,4352.31,1
4277.95,3973.85,4263.59,4106.15,4329.74,4615.9,4078.46,4635.38,4206.15,4223.59,4197.44,4285.13,4571.79,4342.05,0
4278.97,3988.21,4247.69,4092.31,4333.33,4604.1,4050.77,4604.62,4182.05,4214.87,4190.26,4258.97,4578.97,4337.95,1
4303.08,4002.05,4278.46,4142.05,4356.92,4625.64,4082.05,4630.77,4202.05,4235.9,4208.72,4285.13,4612.31,4356.41,0
4295.9,4006.67,4265.64,4121.03,4333.33,4607.69,4054.36,4612.82,4193.33,4227.69,4204.62,4283.08,4598.97,4355.9,1
4291.28,4022.56,4261.54,4110.77,4330.77,4615.38,4050.77,4612.82,4194.36,4239.49,4189.23,4268.72,4580.51,4348.72,1
4271.28,3990.26,4258.97,4116.92,4327.18,4601.03,4040.0,4610.26,4193.33,4205.13,4182.56,4266.67,4578.46,4331.79,1
4305.13,4040.51,4268.72,4114.87,4343.59,4628.21,4077.95,4610.77,4199.49,4219.49,4208.21,4285.13,4608.21,4370.26,0
4298.97,3970.77,4266.67,4120.51,4353.33,4631.79,4086.67,4644.1,4214.36,4248.21,4219.49,4281.54,4639.49,4389.74,1
4273.85,3975.9,4245.64,4122.05,4349.74,4630.26,4073.85,4610.77,4185.13,4222.05,4190.77,4256.41,4592.82,4335.38,0
4307.18,4007.69,4268.72,4134.87,4351.79,4621.54,4061.54,4624.1,4202.05,4238.97,4215.38,4282.56,4611.28,4362.56,1
4313.33,4022.05,4270.26,4130.26,4380.0,4648.72,4093.85,4654.87,4242.56,4256.41,4222.05,4288.21,4642.05,4388.72,1
4291.28,3988.72,4275.9,4103.08,4331.28,4613.85,4072.82,4615.38,4192.82,4226.15,4204.1,4292.82,4588.72,4354.87,0
4271.28,3982.56,4245.64,4103.59,4326.67,4609.74,4050.26,4612.31,4199.49,4222.56,4166.15,4257.44,4580.0,4346.67,0
4303.59,3991.28,4268.72,4136.41,4336.41,4623.59,4073.33,4592.31,4197.44,4233.33,4200.0,4285.13,4610.26,4367.69,0
4322.05,4038.97,4276.41,4126.15,4354.36,4623.08,4113.33,4621.03,4221.03,4238.46,4229.74,4305.13,4631.79,4382.05,1
4356.41,3983.59,4280.51,4115.38,4333.85,4616.92,4096.92,4622.56,4217.44,4236.41,4243.59,4314.36,4665.64,4422.05,1
4395.38,4074.36,4332.31,4197.95,4404.1,4671.79,4133.85,4676.41,4258.97,4282.56,4224.62,4327.69,4634.36,4424.62,1
4425.13,4069.74,4291.79,4138.97,4348.21,4621.03,4068.21,4599.49,4185.64,4247.69,4240.0,4315.9,4708.72,4498.46,0
4415.38,4048.21,4281.54,4158.46,4347.69,4600.0,4069.23,4585.13,4185.13,4252.82,4240.0,4306.15,4671.28,4472.31,1
4291.28,3964.62,4247.69,4100.51,4334.36,4601.54,4061.54,4605.13,4185.13,4222.56,4191.79,4268.72,4597.44,4344.62,1
4256.92,3990.26,4230.26,4094.36,4340.0,4624.1,4098.46,4597.95,4198.97,4224.62,4192.82,4257.44,4573.33,4312.31,0
4326.15,4058.97,4247.18,4145.13,4356.92,4619.49,4062.05,4611.28,4191.79,4215.38,4205.13,4273.33,4598.46,4376.41,0
4318.97,4019.49,4250.26,4127.18,4347.69,4621.03,4072.31,4602.56,4207.69,4257.44,4215.38,4292.31,4622.05,4387.18,0
4283.59,3989.23,4252.82,4122.05,4321.54,4616.41,4056.41,4605.13,4183.08,4213.33,4198.46,4274.36,4598.97,4357.44,0
4306.15,4024.1,4288.21,4138.97,4369.74,4654.87,4109.23,4670.77,4253.33,4269.74,4225.64,4302.05,4648.21,4376.41,1
4276.41,3991.79,4254.87,4106.15,4325.13,4617.44,4059.49,4615.38,4202.05,4228.72,4198.46,4272.31,4602.56,4342.56,0
4291.79,4001.03,4250.26,4112.82,4335.38,4607.18,4055.38,4615.38,4200.51,4223.08,4214.87,4274.87,4602.56,4360.0,1
4444.62,4091.28,4301.03,4152.82,4354.87,4635.38,4078.46,4612.82,4203.08,4266.67,4246.15,4316.92,4679.49,4475.9,0
4293.85,4041.03,4263.59,4120.0,4338.46,4627.18,4067.69,4599.49,4191.79,4209.74,4174.36,4268.72,4603.08,4338.97,0
4240.51,3974.36,4229.74,4089.23,4330.26,4618.97,4076.41,4601.03,4193.85,4216.41,4174.87,4253.85,4557.95,4295.9,0
4329.74,3981.54,4246.15,4120.51,4345.13,4610.77,4075.38,4592.82,4171.79,4218.46,4190.26,4272.31,4588.72,4376.41,1
4324.62,4020.0,4278.46,4135.38,4328.21,4623.59,4081.54,4626.67,4213.85,4238.97,4196.92,4285.64,4625.13,4386.15,1
4291.79,3983.59,4247.69,4121.54,4341.03,4624.62,4058.46,4615.38,4209.74,4226.67,4200.51,4272.82,4584.62,4347.69,0
4321.03,4010.77,4289.23,4153.85,4359.49,4631.28,4063.59,4625.13,4215.38,4257.44,4226.15,4300.0,4627.69,4376.92,0
4304.1,4061.54,4276.92,4138.97,4350.77,4630.26,4074.87,4607.18,4214.87,4236.92,4206.67,4277.95,4614.87,4356.92,0
4229.74,4024.62,4213.33,4106.15,4337.44,4613.85,4053.33,4594.87,4177.95,4190.26,4160.0,4233.85,4551.79,4290.77,0
4317.44,4040.0,4262.05,4120.0,4347.69,4625.64,4118.46,4610.26,4212.31,4230.26,4214.36,4292.31,4621.54,4367.18,1
4294.87,4050.26,4262.05,4119.49,4343.59,4623.59,4073.85,4608.21,4198.97,4230.77,4194.87,4275.38,4607.69,4353.33,0
4281.54,4001.03,4268.72,4125.64,4337.44,4607.18,4049.23,4605.13,4199.49,4220.51,4207.18,4274.87,4594.36,4354.36,0
4302.56,4038.46,4264.1,4114.87,4341.54,4625.13,4084.62,4607.18,4201.03,4218.46,4207.18,4274.87,4605.64,4356.92,0
4333.33,4032.82,4302.05,4136.92,4361.03,4648.21,4088.21,4637.44,4208.72,4255.38,4236.41,4296.41,4632.31,4388.72,0
4371.79,3993.33,4263.08,4117.44,4347.69,4599.49,4071.79,4589.23,4191.79,4237.44,4215.38,4293.33,4631.79,4426.67,1
4289.74,4014.36,4253.85,4121.03,4348.72,4627.69,4081.03,4612.82,4192.82,4214.36,4196.41,4262.05,4586.67,4352.82,0
4253.33,3976.41,4240.51,4105.13,4329.74,4631.79,4085.13,4615.9,4195.38,4218.46,4181.03,4261.54,4574.36,4323.59,0
4304.1,3971.79,4275.38,4121.03,4353.85,4630.26,4084.62,4643.59,4213.33,4250.26,4222.05,4288.21,4643.08,4390.26,1
4266.67,4016.41,4252.31,4118.97,4335.38,4609.23,4041.54,4601.03,4192.82,4220.0,4193.33,4266.67,4608.21,4325.64,1
4315.38,4028.21,4269.74,4123.08,4346.15,4626.15,4116.92,4626.15,4228.72,4243.08,4221.03,4294.36,4625.64,4376.92,1
4283.59,3970.77,4243.08,4104.62,4332.82,4615.9,4052.31,4598.46,4193.85,4224.62,4198.46,4257.44,4595.38,4341.54,0
4243.08,4003.59,4241.03,4112.31,4342.05,4615.38,4041.03,4592.31,4157.95,4200.0,4164.62,4244.62,4535.9,4301.03,0
4246.67,4006.15,4216.92,4100.0,4346.67,4615.9,4066.67,4615.38,4182.56,4214.87,4175.38,4245.13,4549.74,4310.26,0
4370.77,4057.44,4285.64,4154.36,4329.23,4610.26,4070.77,4606.67,4197.44,4225.64,4210.26,4294.36,4610.77,4409.23,0
4273.85,3974.87,4254.87,4107.18,4332.31,4603.59,4050.77,4616.41,4199.49,4212.31,4202.56,4276.41,4583.08,4335.38,1
4316.41,3963.59,4252.82,4098.97,4335.38,4603.08,4069.23,4609.74,4210.77,4245.64,4205.13,4286.67,4601.03,4372.82,1
4295.9,4006.15,4266.67,4114.36,4334.36,4602.56,4044.62,4610.26,4185.13,4221.54,4202.05,4277.95,4579.49,4358.46,1
4416.92,4106.67,4261.03,4153.33,4334.87,4589.23,4062.56,4604.62,4180.0,4207.18,4219.49,4292.82,4643.08,4442.05,0
4382.05,4033.33,4278.46,4131.79,4327.69,4613.85,4055.38,4615.38,4207.69,4244.62,4243.08,4309.23,4664.1,4450.77,1
